Hryshyn Henadiy,13:00
Lozynskyi Roman,13:19
Honulenko Ivan,13:25
Panasenko Evgeniy,12:45
Miroshnichenko Nataliia,13:15
Antonov Yevhenii,08:25
Holovchenko Viacheslav,08:25
Drozd Olena,DNF
Tsybulnyk Roman,13:19
Zabolotnyi Viacheslav,08:25
Shynkarenko Gennadiy,11:27
Khvostyk Henadiy,12:54
Volkov Ihor,11:27
Hrytsenko Serhii,12:45
Fortunov Gennadij,11:11
Myronchik Valerij,13:10
Kyrylenko Serhii,13:10
Vasylchuk Bohdan,12:36
Orlov Oleksii,11:27
Chernenko Serhii,12:36
Niedielchev Maksym,10:52
Khapalov Yaroslav,10:52
Goncharenko Stas,13:05
KUSHNIR IHOR,11:45
Herasymenko Denys,10:52
Moroz Maryna,11:27
Podolko Kostiantyn,13:15
